Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:20:45
Elapsed Time;00:01:04:258
Samples;1060

--Statistics--
Minimum [W];2,5862E-09
Maximum [W];0,00013481
Mean [W];8,3877E-05
Standard Deviation [W];5,0699E-05
Ratio;52127,387 : 1

--Graph Data--
Time (ms);Power (W)
19002,254;6,8831E-05
19061,933;6,8853E-05
19121,933;6,887E-05
19183,618;6,8881E-05
19241,618;6,8877E-05
19302,290;6,8866E-05
19361,290;6,8869E-05
19421,290;6,8879E-05
19481,817;6,8879E-05
19541,817;6,8866E-05
19601,488;6,8834E-05
19661,488;6,8811E-05
19721,167;6,8802E-05
19781,167;6,8795E-05
19841,844;6,881E-05
19901,844;6,8806E-05
19961,538;6,8789E-05
20021,538;6,8783E-05
20081,203;6,8774E-05
20141,203;6,876E-05
20200,883;6,8729E-05
20260,883;6,8705E-05
20320,591;6,8703E-05
20380,591;6,87E-05
20441,240;6,868E-05
20501,240;6,867E-05
20560,918;6,8696E-05
20620,918;6,8712E-05
20680,597;6,8692E-05
20740,597;6,8683E-05
20802,277;6,8707E-05
20860,277;6,8739E-05
20920,277;6,875E-05
20980,794;6,8745E-05
21040,794;6,8749E-05
21100,473;6,8703E-05
21160,473;6,8651E-05
21220,175;6,8638E-05
21280,175;6,8635E-05
21339,869;6,8654E-05
21399,869;6,8674E-05
21459,511;6,8678E-05
21519,511;6,8683E-05
21579,190;6,8682E-05
21639,190;6,8649E-05
21699,866;6,8641E-05
21759,866;6,8648E-05
21819,582;6,8637E-05
21879,582;6,8628E-05
21939,225;6,8639E-05
21999,225;6,8646E-05
22059,903;6,8654E-05
22119,903;6,8665E-05
22180,579;6,8664E-05
22239,579;6,8657E-05
22299,579;6,8636E-05
22359,101;6,863E-05
22419,101;6,8642E-05
22478,812;6,8657E-05
22538,812;6,8695E-05
22598,460;6,8782E-05
22658,460;6,9517E-05
22719,136;7,2317E-05
22779,136;7,6989E-05
22838,816;8,167E-05
22898,816;8,5756E-05
22958,529;8,8935E-05
23018,529;9,1361E-05
23083,162;9,3508E-05
23138,162;9,5108E-05
23197,855;9,6264E-05
23257,855;9,6914E-05
23320,525;9,7093E-05
23377,525;9,7117E-05
23442,199;9,7098E-05
23498,199;9,7071E-05
23557,889;9,707E-05
23617,889;9,7097E-05
23677,568;9,7097E-05
23737,568;9,7095E-05
23797,568;9,7084E-05
23858,085;9,7085E-05
23918,085;9,7108E-05
23977,765;9,7052E-05
24037,765;9,6994E-05
24097,443;9,7037E-05
24157,443;9,7146E-05
24217,146;9,7233E-05
24277,146;9,7246E-05
24336,803;9,7255E-05
24396,803;9,7283E-05
24456,505;9,7313E-05
24516,505;9,7316E-05
24577,158;9,7339E-05
24637,158;9,7379E-05
24696,838;9,7387E-05
24756,838;9,738E-05
24816,780;9,7358E-05
24876,780;9,7361E-05
24936,456;9,7366E-05
24996,456;9,7333E-05
25057,133;9,7318E-05
25117,133;9,7325E-05
25176,813;9,7361E-05
25236,813;9,7402E-05
25297,813;9,7392E-05
25356,331;9,7301E-05
25416,331;9,7193E-05
25476,011;9,7158E-05
25537,011;9,7129E-05
25595,691;9,7116E-05
25655,691;9,7115E-05
25715,370;9,7079E-05
25776,370;9,7027E-05
25836,047;9,6984E-05
25897,047;9,6962E-05
25955,726;9,6932E-05
26016,726;9,6903E-05
26075,405;9,6883E-05
26136,405;9,6796E-05
26195,084;9,6731E-05
26257,084;9,6728E-05
26314,766;9,666E-05
26376,766;9,6638E-05
26435,441;9,6646E-05
26497,441;9,6626E-05
26561,104;9,661E-05
26616,104;9,6571E-05
26675,796;9,66E-05
26736,796;9,6664E-05
26794,796;9,6638E-05
26856,314;9,6617E-05
26915,314;9,6644E-05
26976,990;9,6649E-05
27034,990;9,665E-05
27094,674;9,6661E-05
27154,674;9,663E-05
27214,353;9,6583E-05
27274,353;9,6581E-05
27334,033;9,6576E-05
27394,033;9,6616E-05
27453,713;9,668E-05
27513,713;9,6699E-05
27574,390;9,6668E-05
27634,390;9,6642E-05
27694,070;9,6642E-05
27754,070;9,6691E-05
27813,748;9,6758E-05
27873,748;9,677E-05
27933,428;9,677E-05
27993,428;9,6726E-05
28053,107;9,6662E-05
28113,107;9,6621E-05
28173,784;9,6605E-05
28233,784;9,6624E-05
28296,455;9,6644E-05
28353,455;9,6665E-05
28413,455;9,6807E-05
28472,982;9,7664E-05
28532,982;9,9416E-05
28592,661;0,00010169
28652,661;0,00010371
28713,340;0,00010511
28773,340;0,00010634
28833,017;0,00010756
28893,017;0,00010851
28952,698;0,00010901
29012,698;0,00010933
29073,375;0,00010951
29133,375;0,00010965
29192,055;0,00010978
29252,055;0,00010981
29312,733;0,0001098
29372,733;0,00010989
29437,400;0,00011015
29491,400;0,00011041
29555,083;0,00011052
29612,083;0,00011054
29677,755;0,00011048
29731,755;0,00011042
29791,755;0,00011045
29852,287;0,00011049
29912,287;0,0001105
29971,967;0,00011053
30031,967;0,00011057
30091,645;0,00011058
30151,645;0,00011055
30211,325;0,00011052
30271,325;0,00011052
30331,005;0,00011053
30391,005;0,00011052
30451,681;0,00011049
30511,681;0,00011046
30571,363;0,00011044
30631,363;0,00011042
30691,040;0,00011041
30751,040;0,00011043
30810,719;0,00011041
30870,719;0,0001104
30930,399;0,00011043
30990,399;0,00011047
31050,692;0,00011051
31110,692;0,0001105
31171,370;0,00011053
31231,370;0,00011053
31291,370;0,00011051
31350,889;0,00011059
31410,889;0,0001106
31470,571;0,00011054
31530,571;0,00011057
31590,248;0,00011059
31650,248;0,00011054
31709,933;0,00011047
31769,933;0,00011047
31829,606;0,00011047
31889,606;0,00011046
31950,283;0,00011045
32010,283;0,00011046
32069,963;0,00011042
32129,963;0,00011037
32189,642;0,00011035
32249,642;0,00011031
32309,322;0,00011032
32369,322;0,00011032
32430,002;0,00011029
32490,002;0,00011026
32549,677;0,00011025
32609,677;0,00011029
32670,386;0,00011032
32729,386;0,00011027
32789,386;0,00011021
32848,909;0,00011015
32908,909;0,00011015
32968,555;0,0001102
33028,555;0,00011026
33088,263;0,00011028
33148,263;0,00011029
33208,911;0,00011029
33268,911;0,0001103
33328,591;0,00011028
33388,591;0,00011028
33448,270;0,00011029
33508,270;0,00011025
33567,948;0,00011022
33627,948;0,00011016
33688,627;0,00011017
33748,627;0,00011023
33808,305;0,00011028
33868,305;0,00011011
33928,020;0,00010965
33988,020;0,00010959
34047,663;0,00010979
34107,663;0,00010994
34170,335;0,00011065
34228,335;0,00011194
34288,335;0,00011343
34347,861;0,00011509
34407,861;0,00011661
34467,541;0,00011782
34527,541;0,00011915
35007,094;0,00012589
35066,956;0,00012555
35126,956;0,00012536
35188,608;0,00012498
35246,608;0,00012455
35306,292;0,00012441
35366,292;0,00012445
35426,969;0,00012454
35486,969;0,00012453
35546,648;0,00012449
